,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,Serene_being,2023-02-22 05:58:27+00:00,3778,782,41,11,169621.0,"Allahu Akbar! A man used to write poems in praise of Rasoolallah ﷺ, he got martyred as a result of earthquake, when they were giving him Ghusl, they could smell fragrance instead of any odour! Now imagine, how many blessings Allah will bestow you if u recite durood in abundance? https://t.co/q0JVneYg9q",2
3,3,3,FrenchFriedG,2023-02-24 14:21:29+00:00,1123,9,82,2,21027.0,"When our stream ended last night, my dad messaged me ALLAH AKBAR and I fucking LOST IT 🤣🤣🤣🤣🤣🤣",1
4,4,4,ImtiazMadmood,2023-02-23 04:13:31+00:00,260,35,72,11,18780.0,"Religious harmony:

Cow slaughter has been allowed in all states in India, as long as you shout 'Jai Shri Ram' three times instead of 'Allah hu Akbar' when slaughtering.",2
5,5,5,OfficialDattijo,2023-02-27 06:05:17+00:00,55,20,2,1,1540.0,"Despite all the unstoppable fire outbreak in maiduguri monday market the mosque didn't chop fire. Allahu Akbar! Allah mun tuba😭😭🤲🙏🏼
-IMR🔰 https://t.co/L1uraM618Z",2
6,6,6,AbdulSamad_IJ,2023-02-26 07:41:05+00:00,246,241,3,8,784.0,"Azerbaijani People will never forget Victims of Khojaly City 
Allah o Akbar
#KhojalyGenocide
#Azerbaijan https://t.co/ElpTUjXnXj",2
7,7,7,AnonP0K,2023-02-27 06:13:29+00:00,53,4,6,0,2311.0,"Allahamdullah

Yahi Time ta Jb Base ""ALLAH o Akbar"" k Naro Se Gunj utha 😍🇵🇰

Feb's Resolution!
If you start a war we'll finish it IA🙌
#27February2019 - 2023 

Operation Swift Resort/
#TeaWasFantasticday ☕ https://t.co/gBBzQYJc8p",2
8,8,8,QuranHadithDua,2023-02-24 12:16:00+00:00,60,11,1,0,1370.0,"That I say: SubhanAllah, Alhamdulillah, La ilaaha illa Allah and Allahu Akbar is more beloved to me than everything the sun rises on.

(Muslim) https://t.co/Lt4S2aP5YZ",2
12,12,12,queencX215,2023-02-27 14:22:47+00:00,63,13,6,0,1071.0,"SD2023 week has been one of the best weeks of my life. Graduated and saw The Messiah for the first time in person. I will never forget this memorable experience. Thank you Allah for choosing me.

Allahu Akbar✊🏾🇹🇷 

#SavioursDay2023 
#Farrakhan 
#LongLiveMuhammad 
#10000fearless https://t.co/n0SoUGWdmL",2
13,13,13,Adrian_Hilton,2023-02-26 12:53:39+00:00,2597,365,21,16,116553.0,"Let's just be clear here. When ‘community leaders’ summon all local Muslims in the name of Allah (“each and every one of you to attend”), “making all outer districts aware”, this isn't de-escalating the matter, as Cllr Akbar claims; it is manifestly escalating and intimidating.",2
17,17,17,essential_ustaz,2023-02-25 06:30:48+00:00,350,65,17,5,14134.0,"Allahu Akbar ☝️

Hilarion Heagy,a former Catholic priest announced that he reverted to Islam..

He uploaded a blog post of his journey to Islam
Under his new Muslim name,Said Abdul Latif
May Allah keep him steadfast and firm upon the deen 🤲
Ameen https://t.co/hd1SIcPC61",2
26,26,26,usenaaz,2023-02-27 14:21:26+00:00,134,22,0,1,6018.0,"Wahaj breathes : 
Yumna :"" Allahu Akbar ،Astagferu Allah Wahaj""😭🤏🏻
،
 find to yourself a friend who will earn you good deeds،as Wahaj did to Yumna ، without any effort!🤝🏻🩹
_
#TereBin #Meerasim #Yumhaj
#YumnaZaidi #WahajAli https://t.co/hvZoLuCKp7",2
27,27,27,mrexceptionall,2023-02-27 18:57:41+00:00,77,11,7,3,6934.0,Andrew Tate and Tristan Tate both are now Muslims. There’s no doubt on that. Tristan Tate also has been converted to Islam ☪️ Alhamdullilah for Islam. And it’s powerful faith to the one ☝🏻 almighty itself “Allah Hu Akbar” !  Read the Quran verse in the thread 🧵👇🏻 https://t.co/tRlypBIasp,2
28,28,28,One_Dawah,2023-02-26 14:40:07+00:00,287,33,2,3,12323.0,"Allahu Akbar, amazing news. This prominent US Eastern Catholic priest has become a Muslim after 14 years of preaching Christianity.

In sha allah, many of his followers will follow. https://t.co/SriPxPIDlX",2
31,31,31,Alhamdhulillaah,2023-02-23 18:03:44+00:00,296,41,6,1,46156.0,Allahu Akbar! May Allah continue to keep him on the right path and increase his steadfastness in the deen,2
39,39,39,Phrenii,2023-02-23 22:42:56+00:00,75,1,9,0,7397.0,"@sneako Reading all crying comments made my mood better, y’all keep crying until getting dehydrated 😹😹😹

Allah Akbar (Allah is the greatest)",2
43,43,43,ThePlaycardGirl,2023-02-25 09:51:41+00:00,150,22,9,0,1906.0,"@vijaygajera According to this guy a people who say Jai Shri Ram is a casteist

&amp; that people who say Allah Hu Akbar &amp; spread terrorism, what this guy will called him? A peace loving people? https://t.co/ptmxM3xD0v",2
58,58,58,Azzharmalik,2023-02-27 03:46:03+00:00,122,2,28,0,11533.0,I'm writing this with a very heavy heart that Faisal Akbar has passed away. We belong to Allah and to him we shall return. Please pray for his maghfirat.,2
94,94,0,Nature_and_Race,2023-02-28 22:17:05+00:00,3216,520,553,100,135715.0,"Blacks apparently ""saved Europe""...

So when do they plan on saving Africa?

https://t.co/BS28quaXzX",2
95,95,1,la_Blacks,2023-02-28 23:36:56+00:00,147,14,1,3,2312.0,Monday 6th March 2023 https://t.co/CTunz3FTHz,2
96,96,2,Tomhennessey69,2023-02-28 22:00:22+00:00,711,377,388,139,214858.0,A group of blacks attack 2 white people at an airport baggage claim. #getawayfromthem #BlackHistoryMonth https://t.co/iggQHZl6DR,2
97,97,3,2RawTooReal,2023-02-28 22:19:40+00:00,436,77,99,20,37686.0,"Thank god I’m not Gen Z Bcuz I’d break his spirit. Just because u sound confident in your lies doesn’t mean you’re correct
1) if you voted for trump you aren’t black PERIOD (Herman Caine 💀) 
2) trump tried to repeal ACA
3) 58% of blacks overwhelmingly supported the crime bill https://t.co/W2h7jTsxAZ",2
99,99,5,parasiteburner,2023-02-28 22:17:50+00:00,600,50,36,17,22638.0,"@TraianusVI He says Europeans didn't have running water, and blacks were the ones who brought it to Europe, yet in Africa, blacks have to use cows as showers because they don't have running water. https://t.co/usbWLEb1ir",2
100,100,6,Haqiqatjou,2023-02-28 22:59:38+00:00,120,7,8,1,8209.0,"Statistical evidence suggests that in the US, Blacks and Latinos have higher levels of religiosity than Whites and Asians.

Anecdotal evidence suggests that Black and Latino men are less likely to simp for liberalism and feminism than Whites and Asians.

https://t.co/XMNkZDZiOf https://t.co/I7xiYtSJhy",0
101,101,7,ThePencilPimp,2023-02-28 23:36:45+00:00,279,55,59,8,22736.0,"#Blackculture is for Blacks - #AsianCulture is for Asians
-But Whitefolks...pay attention...because YOUR culture is to be chopped up, butchered and the pieces distributed to EVERYONE! Indian #PeterPan, Black #Tinkerbell, Majority Black group of #LostBoys https://t.co/cuaWErrV67… https://t.co/dXIGTk1Fwl",2
102,102,8,DeezTay,2023-02-28 23:42:14+00:00,155,18,8,2,8516.0,"Stop blaming “socioeconomic factors” blacks are inherently more violent than every other race, it’s that simple.",2
109,109,15,s_decatur,2023-02-28 23:47:52+00:00,117,15,2,1,5889.0,Wagler was a “radical feminist” who had been living in an “interracial woman’s collective” in Roxbury - apparently hoping to contribute to the local community. But the night before her murder a group of young Blacks warned her that Whites were not welcome in the neighborhood. https://t.co/ewZcrXnnHG,0
110,110,16,Murray_Kinsella,2023-02-28 22:37:39+00:00,318,7,84,8,184698.0,"New Zealand Rugby confirms that the process to appoint the All Blacks coach for post-RWC23 is underway.

They say it will be done in the next four to six weeks.

Big job.

Who you backing?",2
111,111,17,dijoni,2023-02-28 21:15:15+00:00,95,73,3,1,3702.0,"The race massacre that many people did not know, Texas in 1918. Today the governor and others are trying to cover it up. The destruction of black homes and cities all across America. The red summer of 1919 wipe my brutalized thousands of f blacks .https://t.co/2qDGmFyWEM",0
112,112,18,barefootboomer,2023-02-28 21:30:56+00:00,55,2,11,1,4587.0,Did y'all know that even after decades of studying the Civil War and slavery NOBODY knew anything about Illinois law banning Blacks from settling in the state until a cosplaying Confederate told us? Thank goodness he told us. https://t.co/yZjoqYv6tX,2
114,114,20,NZRugby,2023-02-28 22:35:20+00:00,83,21,31,25,78369.0,"The NZR Board has made the decision to commence the appointment process for selecting the All Blacks Head Coach from 2024. We anticipate this process will be completed in the next four to six weeks. 

Read the Board's full statement: https://t.co/EzDhlC6cG9 https://t.co/YrK3oYmMqm",2
119,119,25,TheZingOne,2023-02-28 21:39:39+00:00,181,85,26,5,12926.0,"I dare @VusiThembekwayo to repeat his sentiments about the capabilities of the apartheid regime on the capabilities of Hitler and his Nazis on the Jews. I dare you!! Come on. If you can repeatedly say it to us Blacks, then take it to the Jews. I want to see something!!",0
121,121,27,TWWITE4,2023-02-28 21:07:25+00:00,56,1,4,0,930.0,"@geraghd @DVATW Most of the videos circulating are this way. If you can find 5 whites beating up blacks, please share",0
123,123,29,SassySculptor,2023-02-28 23:31:03+00:00,65,7,0,0,1839.0,"@MattClarkReport The same ones that tell them to never air black on black crime … 
Or black on white crime …
Or mass shootings … done by blacks …
School shootings … done by blacks …

If a WHITE person didn’t do the crime … it didn’t happen …",0
133,133,39,shaun_dlanjwa,2023-02-28 21:15:58+00:00,72,5,2,1,2392.0,#NationalShutdown Night shift @EFFSouthAfrica postering team @ Jan Smuts and Randburg CBD while clever blacks are sitting in the comfort of their couches watching generations and Uzalo. We are fixing this country. Revolution in our lifetime https://t.co/RlK2KE1n1i,2
135,135,41,dijoni,2023-02-28 21:48:57+00:00,181,6,5,0,4234.0,"@Birdman38 White people will justify any brutality, including murder, so long is against blacks.",0
138,138,44,BlindBlitzkrieg,2023-02-28 23:31:00+00:00,56,4,1,0,670.0,"@RealBlackIrish Blacks believe they're the original indigenous inhabitants of every continent on Earth.
They believe they discovered everything.
They believe they invented everything.
This is what a crippling inferiority complex looks like. Overcompensation for an unimpressive past and present.",2
139,139,45,joshuaowen11,2023-02-28 23:02:23+00:00,52,1,0,1,495.0,@fjp6657 When the blacks run off all the white people from the cities watch how fast they will be destroyed 🤡🌎,0
153,153,59,Peter_Nimitz,2023-02-28 21:53:11+00:00,84,4,1,0,10749.0,"in reading about blacks in American Revolution, I also stumbled into reading about the Catawba. Apparently they were the best friends we've ever had as a nation - they backed us to the hilt in the Revolution with an outright majority of their adult men serving on Patriot side.",2
157,157,63,JamieWall2,2023-02-28 23:49:47+00:00,55,1,7,0,10890.0,"Has anyone actually asked Jamie Joseph if he wants to leave Japan? Because simply presuming that blokes will just drop everything for the opportunity to coach the All Blacks didn't work so well last time, him included.",2
158,158,64,GardeeGodrich,2023-02-28 23:18:16+00:00,51,15,20,1,5025.0,"""Our people are the oppressed. Who are the oppressed? Blacks in general and Africans in particular"" https://t.co/QKVYMbHqrC",2
162,162,68,Texasman2012,2023-02-28 22:45:19+00:00,55,1,0,0,7329.0,@RealCandaceO Also against Asians and Hispanics.  When New Orleans was hit by a devastating hurricane and Hispanics moved in to New Orleans many blacks did not want the “browns” to come in.,2
170,170,76,wil_da_beast630,2023-02-28 23:57:36+00:00,51,1,3,0,1232.0,"@monitoringbias The thing is that - compared to woke whites, hood Blacks, illegal immigrants, or any other socially problematic group - this^ is a truly tiny faction.

How many true WS mass shooters or mad bombers are there annually? Three?",0
177,177,83,CovfefeAnon,2023-02-28 23:43:47+00:00,59,2,1,0,1543.0,"@CarpeDonktum The mainstream point is that blacks are in danger from whites so anything blacks do is justified (resisting arrest, fleeing arrest, murder, etc.)

Scott Adams' point was that blacks are dangerous to whites so whites should stay away for their own safety - totally different points",0
178,178,84,Hallowe27994118,2023-02-28 23:41:34+00:00,599,12,4,0,7468.0,"@DouglasKMurray @guardian Why change it? What is wrong with it? This is so racist. Imagine switching the location in question and the ethnicity of the writer to white… It would then read  something like: Kampala still feels like a club for working class blacks, we can and will change this.",0
182,182,88,MonroyAqui,2023-02-28 22:41:38+00:00,159,3,13,0,5054.0,"@wayotworld Since there are more white people in the US than blacks and whites are the baddies, then surely there has to be at least 5x more videos of whites doing similar atrocities to blacks, riiight?",0
183,183,89,EPhotius,2023-02-28 22:31:40+00:00,60,4,2,0,1498.0,"@Nature_and_Race Blacks have done such a bang up job in Africa! No matter what country you mention, wherever there is a significant population of blacks,  that nation crumbles. Look at the cities in America!",0
188,188,0,senoritaamorena,2023-02-27 17:23:56+00:00,98,7,10,2,7296.0,Go live with the niggers 😭😭😭😭😭😭,0
192,192,4,JayCartere,2023-02-27 21:12:17+00:00,460,7,296,7,112279.0,"@ClownWorld_ How racist you gotta be to call someone a nigger 200 times???

10 times? I would’ve said 13 years is crazy

But 200 times??

She needs a lot of time to get that hate out her heart

Send her to jail! https://t.co/73F8J3un9C",0
195,195,7,JayCartere,2023-02-27 23:22:47+00:00,80,4,5,0,21556.0,"@RoyIsThaTruth She asked for clarity on the racism after he said “NIGGERS”??

How could she be surprised at his reaction?

If he’s this racist, she’s definitely heard him be racist before",0
196,196,8,TheBlackNerd,2023-02-27 16:39:23+00:00,138,33,4,0,7286.0,"The thing a lot of people don't understand about racism is that it's not, like, calling someone a nigger or doing violence

It's MOSTLY shit like this",0
200,200,12,D0z_M4n_D4rk,2023-02-27 16:59:43+00:00,116,2,4,2,8781.0,"He said ""not too many niggers on my squad just how I like it""",0
210,210,0,ArtMaranda,2023-02-28 17:26:38+00:00,255,33,4,0,8159.0,"""Trash Dog Flash"" 
A painting made with 100% trash (handmade paint brushes, one made of human hair, the other a turkey feather... A stick, and bubble wrap.) https://t.co/JwVW8ZadWV",2
211,211,1,BobMacBobFace,2023-02-28 20:14:22+00:00,106,18,6,1,1218.0,People do tend to get a bit annoyed when you write a 500 page book trash talking them with lies. https://t.co/0DUQLTK4qO,2
213,213,3,celestelabedz,2023-02-28 20:30:32+00:00,503,29,8,3,16161.0,"I love the field scientist humor where they'll say something like ""...with a state-of-the-art weatherproofing system"" completely deadpan while showing a photo of a trash bag held down with some rocks.",2
