,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,iihtishamm,2022-10-24 08:19:21+00:00,29598,3134,505,46,,Just seen the photo of Arshad Sharif. ALLAH O AKBAR  💔💔💔💔💔💔😭😭😭😭😭😭,2
1,1,4,One_Dawah,2022-10-24 14:51:18+00:00,1281,207,22,31,,"Alhamdulilah he became a true top G now.

May Allah keep him stead fast on the deen.
Allahu Akbar  ☝🏼❤ https://t.co/eSeAUoXXTM",2
2,2,5,Jr_deedat,2022-10-22 18:54:59+00:00,229,95,25,3,,"Subhanallah! ALLAH is the Best Engineer 

Don't scroll without typing ALLAHU AKBAR ❤ https://t.co/vlc8iwjOuh",2
3,3,6,maqsPTI,2022-10-25 20:58:20+00:00,212,102,2,3,,"Pakistanio’n seems March Started Already with Shaheed Ashraf Shariff the first person. Allah ho Akbar 
#ArshadSharifShaheed 
#قوم_کا_ہیرو_ارشد_شریف 
https://t.co/rHjHmqhzgo https://t.co/f3zCUKA8Pw",2
5,5,10,SajidullahBaig,2022-10-25 21:15:47+00:00,158,67,3,3,,"Allah ho Akbar, such love, such respect. That's how you respect a shaheed at 2 am
#ArshadSharif #bajwa_traitor
#شہبازگل_گستاخِ_صحابیہ #شہید_ارشد_شریف #کلیجہ_چبانے_والی_ڈائن #بدزبان_چورنی https://t.co/Q9A7iC6b56",2
6,6,13,akhtarkamal383,2022-10-25 21:40:43+00:00,113,66,4,1,,"#ArshadSharifShaheed Sharif's younger son waiting for his father at airport!!! Allah O Akbar 😥😢
#ArshadSharifShaheed 
#مریم_نواز_شرم_کرو
#بدزبان_چورنی
@arsched #ArshadSharifShaheed https://t.co/UUlExk2LzI",2
7,7,18,7signxx,2022-10-23 13:27:49+00:00,586,179,3,0,,"It was narrated from Samurah bin Jundab that:

The Prophet (ﷺ) said: “(There are) four that are the best of words, and it does not matter with which you begin: Subhan-Allah, wal-Hamdu-Lillah, wa la ilaha illallah, wa Allahu Akbar",2
8,8,19,kanzaimtiaz,2022-10-23 07:32:50+00:00,51,1,2,0,,"India won the toss. And we are batting first. 

Allah o Akbar. 😭",2
9,9,20,marinasmigielsk,2022-10-23 15:26:17+00:00,53,6,8,0,,If you yell “Allah Akbar!” people naturally social distance but be sure to record it to cancel them on FB later. Islamaphobia is never ok.,2
10,10,25,SileER,2022-10-24 20:05:14+00:00,94,67,8,1,,"'Police in St-Etienne arrested a man walking in the street, holding a knife &amp; shouting “Allah Akbar.” To the police officers who tried to arrest him, he glorified terrorism &amp; threatened them with death...31yo alleged offender is in the country illegally &amp; is req'd to leave.'",2
